GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC14,HC02_EST_VC15,HC02_EST_VC18
Id,Id2,Geography,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Percent; Estimate; Percent bachelor's degree or higher
0500000US06077,6077,"San Joaquin County, California",13.1,5.7,18.9
0500000US06079,6079,"San Luis Obispo County, California",19.8,14.8,34.6
0500000US06081,6081,"San Mateo County, California",28.6,23,51.6
0500000US06083,6083,"Santa Barbara County, California",21.2,14.1,35.2
0500000US06085,6085,"Santa Clara County, California",26.9,24.7,51.7
0500000US06087,6087,"Santa Cruz County, California",23.8,16.4,40.2
0500000US06089,6089,"Shasta County, California",15.2,7.8,23
0500000US06095,6095,"Solano County, California",18.4,8.3,26.6
0500000US06097,6097,"Sonoma County, California",22.6,13.3,35.8
0500000US06099,6099,"Stanislaus County, California",12,5.5,17.5
0500000US06101,6101,"Sutter County, California",11.7,5.2,16.8
0500000US06107,6107,"Tulare County, California",10.1,4.2,14.3
0500000US06111,6111,"Ventura County, California",21.9,11.6,33.4
0500000US06113,6113,"Yolo County, California",20.1,18.7,38.8
0500000US06115,6115,"Yuba County, California",13.9,3.9,17.8
0500000US08001,8001,"Adams County, Colorado",16.2,6.7,22.9
0500000US08005,8005,"Arapahoe County, Colorado",28.4,15.2,43.7
0500000US08013,8013,"Boulder County, Colorado",35.2,28,63.2
0500000US08014,8014,"Broomfield County, Colorado",36.2,18.9,55.1
0500000US08031,8031,"Denver County, Colorado",30.1,19.2,49.3
0500000US08035,8035,"Douglas County, Colorado",38.3,20.3,58.5
0500000US08041,8041,"El Paso County, Colorado",23.6,15.6,39.2
0500000US08059,8059,"Jefferson County, Colorado",28.8,16.8,45.6
0500000US08069,8069,"Larimer County, Colorado",27.9,20,47.9
0500000US08077,8077,"Mesa County, Colorado",17.3,8.6,25.8
0500000US08101,8101,"Pueblo County, Colorado",14.9,7.3,22.2
0500000US08123,8123,"Weld County, Colorado",19,8.5,27.5
0500000US09001,9001,"Fairfield County, Connecticut",26,21.2,47.1
0500000US09003,9003,"Hartford County, Connecticut",20.9,16.8,37.8
0500000US09005,9005,"Litchfield County, Connecticut",21.4,15.1,36.5
0500000US09007,9007,"Middlesex County, Connecticut",23.1,16.6,39.7
0500000US09009,9009,"New Haven County, Connecticut",18.4,15.8,34.2
